method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	BIP_eur	raw	BIPeur	0p05	global_slope	EUR	4308	3601	691	726	-0.0371865814515112	0.048911652395851	0.447325533808893	-0.0514545326520384	0.0157505532051452	0.0010981494794325	-0.0142679512005272	0.0514051068318781	-0.277559022437031	0.781350891865108
CT	BIP_eur	raw	BIPeur	0p1	global_slope	EUR	4308	3601	691	726	-0.0047122884691123	0.049231312529218	0.923770634752546	-0.050504011562066	0.015808352767922	0.0014118357658072	-0.0457917230929537	0.0517242188440182	-0.885305261565094	0.375992012963295
CT	BIP_eur	raw	BIPeur	0p5	global_slope	EUR	4308	3601	691	726	0.0033306182585931	0.0500294788142978	0.946939250422507	-0.0306700634598514	0.0159613040174287	0.0547466693020651	-0.0340006817184445	0.0525332472519356	-0.647222159243007	0.517488171763917
CT	BIP_eur	raw	BIPeur	1	global_slope	EUR	4308	3601	691	726	0.0114678561334713	0.0500997446809761	0.81900850788441	-0.0289622063325612	0.0159658798572558	0.0697623851253945	-0.0404300624660325	0.0525996182140899	-0.768637945269391	0.442108272846882
CT	BIP_eur	raw	BIPeur	1e-5	global_slope	EUR	4308	3601	691	726	-0.0222761444682424	0.0460601094187142	0.628787568593794	-0.0034195957355879	0.0154136838453729	0.82444033521024	0.0188565487326544	0.0485587323617312	0.388324567292765	0.697775858908536
CT	BIP_eur	raw	BIPeur	5e-8	global_slope	EUR	4308	3601	691	726	-0.0233006334078868	0.0447829429837248	0.603006195117235	0.0090439885992393	0.0153707214625247	0.556308247346511	0.0323446220071261	0.0473422137369386	0.683208904992319	0.49447484643896
CT	BIP_eur	raw	BIPeur	0p001	global_slope	full	8596	7198	1350	1449	-0.004062013350956	0.0319741135979599	0.898924349082092	-0.0198374548776721	0.011051181922171	0.0726879581129706	-0.015775441526716	0.0338358928845042	-0.466233936268922	0.641048060591444
CT	BIP_eur	raw	BIPeur	0p01	global_slope	full	8596	7198	1350	1449	0.0255685887823128	0.0329428891387642	0.437777207882035	-0.0233648826921645	0.0112256867287264	0.0374353037577126	-0.0489334714744773	0.0348116495641208	-1.40566368118653	0.159824016474621
CT	BIP_eur	raw	BIPeur	0p05	global_slope	full	8596	7198	1350	1449	-0.0030473326154722	0.0375283146111688	0.935292483337633	-0.0286345410591049	0.0125458954414296	0.0224965527792766	-0.0255872084436326	0.0395687970900829	-0.646651157612408	0.517857740661546
CT	BIP_eur	raw	BIPeur	0p1	global_slope	full	8596	7198	1350	1449	0.0096465242985649	0.038599386128359	0.802686409722055	-0.0308758017704559	0.0127702716061991	0.0156404494570912	-0.0405223260690209	0.0406475054048092	-0.996920368555421	0.318803164044845
